               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11696,            0.028514,                   0,          0.00037037,             0.11111,          0.00031899,          7.6879e-05,             0.11794,            0.022221,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11183,            0.027812,                   0,          0.00098765,              0.2963,          0.00093822,          0.00026125,             0.10547,            0.019693,                   0,            0.087871,            0.000871,            0.000871
                   2,            0.089916,            0.023412,                   0,          0.00098765,              0.2963,           0.0011918,          0.00034307,             0.09805,            0.018822,                   0,             0.08068,             0.00068,             0.00068
