,epoch_count,loss_values,test_loss_values
0,1,931.6823120117188,1377.6474609375
1,2,787.6624145507812,873.9571533203125
2,3,698.5545654296875,573.0762939453125
3,4,639.9258422851562,389.8633728027344
4,5,598.3661499023438,275.8795166015625
5,6,566.5101928710938,203.28810119628906
6,7,540.306884765625,155.89805603027344
7,8,517.5230712890625,124.15628814697266
8,9,496.9223937988281,102.3337631225586
9,10,477.81591796875,86.93186950683594
10,11,459.8149108886719,75.77230072021484
11,12,442.69573974609375,67.47139739990234
12,13,426.32574462890625,61.132667541503906
13,14,410.6224060058594,56.164085388183594
14,15,395.5311279296875,52.16774368286133
15,16,381.0129699707031,48.871925354003906
16,17,367.0378112792969,46.08851623535156
17,18,353.580810546875,43.685646057128906
18,19,340.6202087402344,41.56996536254883
19,20,328.1363220214844,39.6746940612793
20,21,316.11090087890625,37.95172882080078
21,22,304.5267028808594,36.3661003112793
22,23,293.3672790527344,34.89220428466797
23,24,282.6169738769531,33.51112747192383
24,25,272.26068115234375,32.208778381347656
25,26,262.283935546875,30.974525451660156
26,27,252.6728057861328,29.8002872467041
27,28,243.41384887695312,28.679819107055664
28,29,234.4942169189453,27.608192443847656
29,30,225.90142822265625,26.581499099731445
30,31,217.62351989746094,25.596534729003906
31,32,209.6489715576172,24.650632858276367
32,33,201.9665985107422,23.741561889648438
33,34,194.5657501220703,22.867387771606445
34,35,187.4361114501953,22.026384353637695
35,36,180.56771850585938,21.21703338623047
36,37,173.95101928710938,20.43796157836914
37,38,167.57676696777344,19.687870025634766
38,39,161.4361114501953,18.9655704498291
39,40,155.52044677734375,18.26997947692871
40,41,149.82159423828125,17.60004234313965
41,42,144.33151245117188,16.95478057861328
42,43,139.04266357421875,16.333251953125
43,44,133.94760131835938,15.734577178955078
44,45,129.03924560546875,15.157868385314941
45,46,124.31072235107422,14.60233211517334
46,47,119.7554931640625,14.067184448242188
47,48,115.36717987060547,13.551655769348145
48,49,111.1396484375,13.055031776428223
49,50,107.06704711914062,12.576614379882812
50,51,103.14369201660156,12.115729331970215
51,52,99.36408233642578,11.671753883361816
52,53,95.72298431396484,11.244049072265625
53,54,92.21531677246094,10.832024574279785
54,55,88.8362045288086,10.435094833374023
55,56,85.58090209960938,10.05270767211914
56,57,82.44490051269531,9.684330940246582
57,58,79.42378997802734,9.329455375671387
58,59,76.51338958740234,8.987584114074707
59,60,73.70965576171875,8.658242225646973
60,61,71.00863647460938,8.340964317321777
61,62,68.40658569335938,8.035321235656738
62,63,65.89991760253906,7.740877628326416
63,64,63.48508071899414,7.457222938537598
64,65,61.15874481201172,7.183956623077393
65,66,58.91764450073242,6.920716285705566
66,67,56.75868225097656,6.6671013832092285
67,68,54.67880630493164,6.422795295715332
68,69,52.675167083740234,6.187436580657959
69,70,50.74493408203125,5.960704803466797
70,71,48.88542556762695,5.742291450500488
71,72,47.094085693359375,5.5318684577941895
72,73,45.36836624145508,5.329159736633301
73,74,43.70589828491211,5.133879661560059
74,75,42.104347229003906,4.945757865905762
75,76,40.56148910522461,4.764528751373291
76,77,39.07516098022461,4.589937210083008
77,78,37.6432991027832,4.4217448234558105
78,79,36.263912200927734,4.259710311889648
79,80,34.93505859375,4.103612422943115
80,81,33.6548957824707,3.953237533569336
81,82,32.42164993286133,3.8083736896514893
82,83,31.233585357666016,3.6688199043273926
83,84,30.089067459106445,3.534381866455078
84,85,28.986495971679688,3.4048666954040527
85,86,27.924314498901367,3.280099391937256
86,87,26.901060104370117,3.1599020957946777
87,88,25.915294647216797,3.0441086292266846
88,89,24.96565055847168,2.9325664043426514
89,90,24.050819396972656,2.825101613998413
90,91,23.169496536254883,2.721580743789673
91,92,22.320476531982422,2.6218531131744385
92,93,21.502573013305664,2.5257809162139893
93,94,20.714637756347656,2.4332287311553955
94,95,19.955575942993164,2.3440675735473633
95,96,19.224328994750977,2.2581682205200195
96,97,18.519872665405273,2.1754205226898193
97,98,17.841232299804688,2.095703125
98,99,17.187456130981445,2.0189054012298584
99,100,16.55763816833496,1.944926142692566
100,101,15.950905799865723,1.8736542463302612
101,102,15.366398811340332,1.8049966096878052
102,103,14.80332088470459,1.7388551235198975
103,104,14.26086711883545,1.6751351356506348
104,105,13.738287925720215,1.613751769065857
105,106,13.234858512878418,1.5546194314956665
106,107,12.749878883361816,1.4976532459259033
107,108,12.28267765045166,1.4427729845046997
108,109,11.832589149475098,1.3899052143096924
109,110,11.399002075195312,1.3389742374420166
110,111,10.98129653930664,1.2899106740951538
111,112,10.578903198242188,1.2426457405090332
112,113,10.191254615783691,1.197108268737793
113,114,9.817804336547852,1.1532455682754517
114,115,9.458046913146973,1.1109845638275146
115,116,9.111465454101562,1.0702731609344482
116,117,8.77759075164795,1.0310533046722412
117,118,8.455947875976562,0.9932701587677002
118,119,8.146084785461426,0.9568736553192139
119,120,7.847580432891846,0.9218111634254456
120,121,7.560019493103027,0.8880322575569153
121,122,7.282989025115967,0.8554913997650146
122,123,7.016108512878418,0.8241432905197144
123,124,6.759011268615723,0.7939407825469971
124,125,6.5113325119018555,0.7648488879203796
125,126,6.272735595703125,0.7368214726448059
126,127,6.042879581451416,0.7098215818405151
127,128,5.821441173553467,0.683810293674469
128,129,5.60811710357666,0.6587540507316589
129,130,5.402615547180176,0.634614109992981
130,131,5.204641819000244,0.6113597750663757
131,132,5.0139241218566895,0.5889567136764526
132,133,4.8301920890808105,0.567374050617218
133,134,4.653192520141602,0.5465834140777588
134,135,4.482682704925537,0.5265554189682007
135,136,4.31842041015625,0.5072582364082336
